mode,episode,success,steps,return,reflections
no_reflection,1,1,8,0.9299999999999999,0
no_reflection,2,1,8,0.9299999999999999,0
no_reflection,3,1,8,0.9299999999999999,0
no_reflection,4,1,10,0.91,0
no_reflection,5,1,8,0.9299999999999999,0
no_reflection,6,1,8,0.9299999999999999,0
no_reflection,7,1,8,0.9299999999999999,0
no_reflection,8,1,8,0.9299999999999999,0
no_reflection,9,1,8,0.9299999999999999,0
no_reflection,10,1,8,0.9299999999999999,0
no_reflection,11,1,8,0.9299999999999999,0
no_reflection,12,1,12,0.89,0
no_reflection,13,1,11,0.9,0
no_reflection,14,1,10,0.91,0
no_reflection,15,1,8,0.9299999999999999,0
no_reflection,16,1,8,0.9299999999999999,0
no_reflection,17,1,8,0.9299999999999999,0
no_reflection,18,1,10,0.91,0
no_reflection,19,1,9,0.92,0
no_reflection,20,1,8,0.9299999999999999,0
no_reflection,21,1,9,0.92,0
no_reflection,22,1,8,0.9299999999999999,0
no_reflection,23,1,8,0.9299999999999999,0
no_reflection,24,1,11,0.9,0
no_reflection,25,1,11,0.9,0
no_reflection,26,1,8,0.9299999999999999,0
no_reflection,27,1,10,0.91,0
no_reflection,28,1,8,0.9299999999999999,0
no_reflection,29,1,9,0.92,0
no_reflection,30,1,13,0.88,0
no_reflection,31,1,9,0.92,0
no_reflection,32,1,8,0.9299999999999999,0
no_reflection,33,1,8,0.9299999999999999,0
no_reflection,34,1,9,0.92,0
no_reflection,35,1,13,0.88,0
no_reflection,36,1,8,0.9299999999999999,0
no_reflection,37,1,8,0.9299999999999999,0
no_reflection,38,1,10,0.91,0
no_reflection,39,1,9,0.92,0
no_reflection,40,1,8,0.9299999999999999,0
no_reflection,41,1,10,0.91,0
no_reflection,42,1,10,0.91,0
no_reflection,43,1,9,0.92,0
no_reflection,44,1,8,0.9299999999999999,0
no_reflection,45,1,10,0.91,0
no_reflection,46,1,8,0.9299999999999999,0
no_reflection,47,1,9,0.92,0
no_reflection,48,1,8,0.9299999999999999,0
no_reflection,49,1,8,0.9299999999999999,0
no_reflection,50,1,10,0.91,0
no_reflection,51,1,8,0.9299999999999999,0
no_reflection,52,1,8,0.9299999999999999,0
no_reflection,53,1,10,0.91,0
no_reflection,54,1,8,0.9299999999999999,0
no_reflection,55,1,9,0.92,0
no_reflection,56,1,8,0.9299999999999999,0
no_reflection,57,1,8,0.9299999999999999,0
no_reflection,58,1,10,0.91,0
no_reflection,59,1,8,0.9299999999999999,0
no_reflection,60,1,8,0.9299999999999999,0
per_step,1,1,8,0.9299999999999999,8
per_step,2,1,8,0.9299999999999999,8
per_step,3,1,10,0.91,10
per_step,4,1,10,0.91,10
per_step,5,1,8,0.9299999999999999,8
per_step,6,1,8,0.9299999999999999,8
per_step,7,1,8,0.9299999999999999,8
per_step,8,1,8,0.9299999999999999,8
per_step,9,1,8,0.9299999999999999,8
per_step,10,1,8,0.9299999999999999,8
per_step,11,1,10,0.91,10
per_step,12,1,8,0.9299999999999999,8
per_step,13,1,9,0.92,9
per_step,14,1,11,0.9,11
per_step,15,1,10,0.91,10
per_step,16,1,10,0.91,10
per_step,17,1,8,0.9299999999999999,8
per_step,18,1,8,0.9299999999999999,8
per_step,19,1,10,0.91,10
per_step,20,1,10,0.91,10
per_step,21,1,8,0.9299999999999999,8
per_step,22,1,9,0.92,9
per_step,23,1,11,0.9,11
per_step,24,1,8,0.9299999999999999,8
per_step,25,1,8,0.9299999999999999,8
per_step,26,1,11,0.9,11
per_step,27,1,8,0.9299999999999999,8
per_step,28,1,8,0.9299999999999999,8
per_step,29,1,8,0.9299999999999999,8
per_step,30,1,8,0.9299999999999999,8
per_step,31,1,8,0.9299999999999999,8
per_step,32,1,8,0.9299999999999999,8
per_step,33,1,11,0.9,11
per_step,34,1,8,0.9299999999999999,8
per_step,35,1,9,0.92,9
per_step,36,1,9,0.92,9
per_step,37,1,8,0.9299999999999999,8
per_step,38,1,10,0.91,10
per_step,39,1,9,0.92,9
per_step,40,1,11,0.9,11
per_step,41,1,11,0.9,11
per_step,42,1,8,0.9299999999999999,8
per_step,43,1,8,0.9299999999999999,8
per_step,44,1,8,0.9299999999999999,8
per_step,45,1,8,0.9299999999999999,8
per_step,46,1,9,0.92,9
per_step,47,1,9,0.92,9
per_step,48,1,8,0.9299999999999999,8
per_step,49,1,8,0.9299999999999999,8
per_step,50,1,12,0.89,12
per_step,51,1,9,0.92,9
per_step,52,1,8,0.9299999999999999,8
per_step,53,1,12,0.89,12
per_step,54,1,9,0.92,9
per_step,55,1,10,0.91,10
per_step,56,1,8,0.9299999999999999,8
per_step,57,1,10,0.91,10
per_step,58,1,10,0.91,10
per_step,59,1,13,0.88,13
per_step,60,1,8,0.9299999999999999,8
failure_only,1,1,12,0.89,0
failure_only,2,1,8,0.9299999999999999,0
failure_only,3,1,8,0.9299999999999999,0
failure_only,4,1,9,0.92,0
failure_only,5,1,8,0.9299999999999999,0
failure_only,6,1,11,0.9,0
failure_only,7,1,8,0.9299999999999999,0
failure_only,8,1,8,0.9299999999999999,0
failure_only,9,1,8,0.9299999999999999,0
failure_only,10,1,8,0.9299999999999999,0
failure_only,11,1,9,0.92,0
failure_only,12,1,12,0.89,0
failure_only,13,1,8,0.9299999999999999,0
failure_only,14,1,8,0.9299999999999999,0
failure_only,15,1,8,0.9299999999999999,0
failure_only,16,1,8,0.9299999999999999,0
failure_only,17,1,8,0.9299999999999999,0
failure_only,18,1,8,0.9299999999999999,0
failure_only,19,1,12,0.89,0
failure_only,20,1,8,0.9299999999999999,0
failure_only,21,1,8,0.9299999999999999,0
failure_only,22,1,9,0.92,0
failure_only,23,1,9,0.92,0
failure_only,24,1,10,0.91,0
failure_only,25,1,8,0.9299999999999999,0
failure_only,26,1,8,0.9299999999999999,0
failure_only,27,1,10,0.91,0
failure_only,28,1,10,0.91,0
failure_only,29,1,8,0.9299999999999999,0
failure_only,30,1,9,0.92,0
failure_only,31,1,8,0.9299999999999999,0
failure_only,32,1,9,0.92,0
failure_only,33,1,8,0.9299999999999999,0
failure_only,34,1,10,0.91,0
failure_only,35,1,8,0.9299999999999999,0
failure_only,36,1,11,0.9,0
failure_only,37,1,10,0.91,0
failure_only,38,1,8,0.9299999999999999,0
failure_only,39,1,9,0.92,0
failure_only,40,1,9,0.92,0
failure_only,41,1,8,0.9299999999999999,0
failure_only,42,1,9,0.92,0
failure_only,43,1,9,0.92,0
failure_only,44,1,8,0.9299999999999999,0
failure_only,45,1,8,0.9299999999999999,0
failure_only,46,1,8,0.9299999999999999,0
failure_only,47,1,11,0.9,0
failure_only,48,1,8,0.9299999999999999,0
failure_only,49,1,8,0.9299999999999999,0
failure_only,50,1,8,0.9299999999999999,0
failure_only,51,1,8,0.9299999999999999,0
failure_only,52,1,14,0.87,0
failure_only,53,1,10,0.91,0
failure_only,54,1,8,0.9299999999999999,0
failure_only,55,1,8,0.9299999999999999,0
failure_only,56,1,9,0.92,0
failure_only,57,1,9,0.92,0
failure_only,58,1,8,0.9299999999999999,0
failure_only,59,1,8,0.9299999999999999,0
failure_only,60,1,8,0.9299999999999999,0
success_only,1,1,8,0.9299999999999999,1
success_only,2,1,9,0.92,1
success_only,3,1,8,0.9299999999999999,1
success_only,4,1,8,0.9299999999999999,1
success_only,5,1,10,0.91,1
success_only,6,1,11,0.9,1
success_only,7,1,10,0.91,1
success_only,8,1,8,0.9299999999999999,1
success_only,9,1,8,0.9299999999999999,1
success_only,10,1,8,0.9299999999999999,1
success_only,11,1,8,0.9299999999999999,1
success_only,12,1,11,0.9,1
success_only,13,1,10,0.91,1
success_only,14,1,9,0.92,1
success_only,15,1,9,0.92,1
success_only,16,1,10,0.91,1
success_only,17,1,8,0.9299999999999999,1
success_only,18,1,13,0.88,1
success_only,19,1,8,0.9299999999999999,1
success_only,20,1,8,0.9299999999999999,1
success_only,21,1,9,0.92,1
success_only,22,1,8,0.9299999999999999,1
success_only,23,1,8,0.9299999999999999,1
success_only,24,1,8,0.9299999999999999,1
success_only,25,1,9,0.92,1
success_only,26,1,11,0.9,1
success_only,27,1,8,0.9299999999999999,1
success_only,28,1,10,0.91,1
success_only,29,1,8,0.9299999999999999,1
success_only,30,1,10,0.91,1
success_only,31,1,8,0.9299999999999999,1
success_only,32,1,10,0.91,1
success_only,33,1,8,0.9299999999999999,1
success_only,34,1,10,0.91,1
success_only,35,1,9,0.92,1
success_only,36,1,8,0.9299999999999999,1
success_only,37,1,8,0.9299999999999999,1
success_only,38,1,9,0.92,1
success_only,39,1,10,0.91,1
success_only,40,1,8,0.9299999999999999,1
success_only,41,1,8,0.9299999999999999,1
success_only,42,1,8,0.9299999999999999,1
success_only,43,1,8,0.9299999999999999,1
success_only,44,1,10,0.91,1
success_only,45,1,10,0.91,1
success_only,46,1,8,0.9299999999999999,1
success_only,47,1,9,0.92,1
success_only,48,1,8,0.9299999999999999,1
success_only,49,1,8,0.9299999999999999,1
success_only,50,1,8,0.9299999999999999,1
success_only,51,1,8,0.9299999999999999,1
success_only,52,1,8,0.9299999999999999,1
success_only,53,1,9,0.92,1
success_only,54,1,9,0.92,1
success_only,55,1,8,0.9299999999999999,1
success_only,56,1,8,0.9299999999999999,1
success_only,57,1,8,0.9299999999999999,1
success_only,58,1,11,0.9,1
success_only,59,1,9,0.92,1
success_only,60,1,8,0.9299999999999999,1
